Algorithm,Devices,FailureRate
Fuzzy_Based,2400,0.30897039781541263
Fuzzy_Based,2400,2.1911206552137434
Fuzzy_Based,2400,1.1521849759254668
Fuzzy_Based,2400,0.3364592060103235
Fuzzy_Based,2400,2.4448897795591185
Fuzzy_Based,2400,0.7380967556886991
Fuzzy_Based,2400,0.3285077255524051
Fuzzy_Based,2400,0.3715453075432338
Fuzzy_Based,2400,0.34949379368672423
Fuzzy_Based,2400,1.3097493673783396
Fuzzy_Based,2400,0.3382647655761351
Fuzzy_Based,2400,0.33783783783783783
Fuzzy_Based,2400,0.3470550981633945
Fuzzy_Based,2400,0.3497837700330705
HEO,200,0.24742268041237112
HEO,200,0.12380068090374496
HEO,200,0.2474907190980338
HEO,200,0.14457831325301204
HEO,200,0.1631321370309951
HEO,200,0.21291696238466998
HEO,200,0.09324009324009325
HEO,200,0.1909698540444687
HEO,200,0.08077544426494346
HEO,200,0.1643753735803945
HEO,200,0.190951821386604
HEO,200,0.11479408810446262
HEO,200,0.23320215711995335
HEO,200,0.17249490355966754
HEO,200,0.19276393831553976
HEO,400,0.14356356675705853
HEO,400,0.11440011440011441
HEO,400,0.19822391373295273
HEO,400,0.21299254526091588
HEO,400,0.1315693297273591
HEO,400,0.2046663937781416
HEO,400,0.09024592013236069
HEO,400,0.18964259664478483
HEO,400,0.1968934587617589
HEO,400,0.16451878256100905
HEO,400,0.19674612183125237
HEO,400,0.16946758932354186
HEO,400,0.15061321093021587
HEO,400,0.2182214948172395
HEO,400,0.1266023104921665
HEO,600,0.2005917456496665
HEO,600,0.18197442248395088
HEO,600,0.17524217495010466
HEO,600,0.2218341435786095
HEO,600,0.1397732567168815
HEO,600,0.16146393972012918
HEO,600,0.20521547625006256
HEO,600,0.19508188305354485
HEO,600,0.16042276115881854
HEO,600,0.20235562704301355
HEO,600,0.17118114993454836
HEO,600,0.15186852524814232
HEO,600,0.191397735126801
HEO,600,0.18217780553820528
HEO,600,0.14606628387226755
HEO,800,0.2213088839709137
HEO,800,0.14127363616605085
HEO,800,0.2315333482709687
HEO,800,0.20645864983833898
HEO,800,0.16836826079168907
HEO,800,0.16871625674865026
HEO,800,0.15745079662605435
HEO,800,0.17471893041628683
HEO,800,0.19098548510313218
HEO,800,0.16923019066601483
HEO,800,0.18554983338382308
HEO,800,0.20100502512562815
HEO,800,0.1774485977703198
HEO,800,0.1535685491611318
HEO,800,0.21667689863132422
HEO,1000,0.13633884748227595
HEO,1000,0.20545048039156444
HEO,1000,0.1968265503875969
HEO,1000,0.20652622883106153
HEO,1000,0.229878194411273
HEO,1000,0.20977987885950655
HEO,1000,0.17277330950253203
HEO,1000,0.1751057930833212
HEO,1000,0.1914428102589036
HEO,1000,0.16179290508149569
HEO,1000,0.2038891086698518
HEO,1000,0.2592409192857767
HEO,1000,0.18051113151977705
HEO,1000,0.19402405898331393
HEO,1000,0.18206645425580337
HEO,1200,0.2112835475513746
HEO,1200,0.19573400250941028
HEO,1200,0.21426385062748698
HEO,1200,0.21465369204350318
HEO,1200,0.19801980198019803
HEO,1200,0.2212715739784629
HEO,1200,0.19789579158316634
HEO,1200,0.19575520296723675
HEO,1200,0.21244954323348203
HEO,1200,0.2736116740980949
HEO,1200,0.2401630197467372
HEO,1200,0.23560770127799327
HEO,1200,0.25748472762154795
HEO,1200,0.2153399467699008
HEO,1200,0.19874045013421435
HEO,1400,0.20423239038804153
HEO,1400,0.20777551676127237
HEO,1400,0.19199240659245836
HEO,1400,0.21274332517817254
HEO,1400,0.19709653491575713
HEO,1400,0.1870455214156614
HEO,1400,0.192839236356624
HEO,1400,0.21102284011916583
HEO,1400,0.22361453916418791
HEO,1400,0.21682567215958368
HEO,1400,0.21918878447882983
HEO,1400,0.24640657084188913
HEO,1400,0.21993973651219567
HEO,1400,0.19058050383351588
HEO,1400,0.2460183866373171
HEO,1600,0.21188426993680975
HEO,1600,0.2260014690095486
HEO,1600,0.2197497624326893
HEO,1600,0.24189093956535818
HEO,1600,0.2409102701901338
HEO,1600,0.2170481452249408
HEO,1600,0.24094612738876933
HEO,1600,0.23592918349628175
HEO,1600,0.2315243563622893
HEO,1600,0.23471938629467778
HEO,1600,0.22657054582904224
HEO,1600,0.2548035181759843
HEO,1600,0.2635952094435849
HEO,1600,0.2073958854137733
HEO,1600,0.21573978462900134
HEO,1800,0.23481823012186553
HEO,1800,0.2589829625044793
HEO,1800,0.23786869647954328
HEO,1800,0.2500766363885707
HEO,1800,0.2223408039843472
HEO,1800,0.26337252769659486
HEO,1800,0.25838103025347503
HEO,1800,0.21909804637575314
HEO,1800,0.23957085568459976
HEO,1800,0.21604327462233655
HEO,1800,0.25124398401174647
HEO,1800,0.2163903486650505
HEO,1800,0.2110666464042686
HEO,1800,0.24380266710300252
HEO,1800,0.23044988562229943
HEO,2000,0.24539514531531798
HEO,2000,0.20934671510374975
HEO,2000,0.218409676301797
HEO,2000,0.29035739803286664
HEO,2000,0.21784152795888626
HEO,2000,0.21469758311863574
HEO,2000,0.20349771256330615
HEO,2000,0.2724336899459724
HEO,2000,0.22191975381701975
HEO,2000,0.2462182416939815
HEO,2000,0.20806161108005714
HEO,2000,0.2810941047461658
HEO,2000,0.2714392244593587
HEO,2000,0.23247163846010785
HEO,2000,0.2314376792186431
HEO,2200,0.24009276311302094
HEO,2200,0.27867834724425744
HEO,2200,0.24474616131369897
HEO,2200,0.23535458738553516
HEO,2200,0.2694687808907365
HEO,2200,0.2380699047720381
HEO,2200,0.2598930334988442
HEO,2200,0.25019568377501955
HEO,2200,0.4049994635768694
HEO,2200,0.29167175396470096
HEO,2200,0.2244035408951361
HEO,2200,0.2618680857022826
HEO,2200,0.22219753360737696
HEO,2200,0.2515316733179698
HEO,2200,0.24154920878909736
HEO,2400,0.22697589490635658
HEO,2400,0.26843827758233946
HEO,2400,0.6866024496365786
HEO,2400,2.121872903287645
HEO,2400,2.3998994279967314
HEO,2400,0.2484518577706752
HEO,2400,0.2671958701376188
HEO,2400,2.7478256602755184
HEO,2400,0.24949780569878577
HEO,2400,1.3506573541495481
HEO,2400,0.3219979580617294
HEO,2400,0.2503049400284611
HEO,2400,0.27775022319214365
HEO,2400,0.25881793970917366
HEO,2400,1.3104400044758862
